"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.37194413330757,0.935560699718926,-2.98475859675871,-1.92088264396627,-1.4641330030124,-0.936455303003912,0.854075142716057,1.00056827993071,6808,1,0.928966666666667
"beta.comm.psi1[2]",0.126345109954194,0.387460067161342,-0.629721387992646,-0.0789677176037804,0.12207394838153,0.326403116767921,0.897608874111439,1.0021690325056,2937,1,0.661333333333333
"beta.comm.phi[1]",1.73645237486377,0.723767490288412,0.237269572067607,1.41139136483231,1.7786152645415,2.13070995984838,2.9905006764758,1.00771524657518,30000,0,0.981833333333333
"beta.comm.phi[2]",-0.444696889718905,0.692971377556769,-1.87161248066154,-0.821059036896249,-0.433746299824382,-0.0654925820297681,0.944042528032768,1.00240028839719,4525,1,0.781666666666667
"beta.comm.gamma[1]",-3.31766358715848,0.874912517256187,-4.86009031109232,-3.82664578962547,-3.38978888734435,-2.906489542943,-1.30458373478737,1.00555529035614,1514,0,0.994833333333333
"beta.comm.gamma[2]",0.258515623370756,0.45651367368025,-0.637214393059904,0.022013949465698,0.261303085098195,0.497107372966376,1.11094448694571,1.00984085754982,3937,1,0.768933333333333
"rho.comm[1]",-0.40278726228318,0.219405452953775,-0.870429786010621,-0.541259554093123,-0.393366415310227,-0.253748293216464,0.00652539247178166,1.00000822929604,30000,1,0.973133333333333
"rho.comm[2]",0.079251099461679,0.154448750505107,-0.228116265602195,-0.0241414264009923,0.0802855669493227,0.182484685428623,0.379682875052148,1.00028784668744,11553,1,0.7001
"eff.traits.psi[1,1]",0.350714482239726,0.771553475589523,-0.996872001633992,-0.164204937203573,0.279106994729588,0.786491703415418,2.0944283669476,1.00025796685922,24123,1,0.661166666666667
"eff.traits.psi[2,1]",0.058590657999118,0.293980923345704,-0.524197773699348,-0.124180687243962,0.0590011487230688,0.238813496896264,0.646651147682835,1.00021369676764,30000,1,0.586266666666667
"eff.traits.psi[1,2]",0.281427673218649,0.54986541112342,-0.741178063486393,-0.0922640627320437,0.257371807649124,0.629985745438961,1.42526604033911,1.00001979724769,30000,1,0.690433333333333
"eff.traits.psi[2,2]",0.0023961399815634,0.216202182225283,-0.427392331250177,-0.139462562720099,0.000663320988434968,0.142684258773155,0.433621128864269,1.00007436356779,30000,1,0.501233333333333
"eff.traits.phi[1,1]",0.352236486753376,0.566823685669905,-0.786093471887015,0.00932035856748705,0.353680147692675,0.700849441997201,1.48752953841103,1.00117680039573,2092,1,0.7555
"eff.traits.phi[2,1]",-0.355838930266479,0.640904647538451,-1.66623506987815,-0.741738312395427,-0.345965044806403,0.0451919261855063,0.897334517945334,1.00081989233704,4027,1,0.7259
