"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta.comm.psi1[1]",-1.35787670941324,0.956508068503563,-2.94706280647099,-1.90655521768805,-1.45198759135598,-0.928228465079751,0.912873942096031,1.00329678424664,2951,1,0.929166666666667
"beta.comm.psi1[2]",0.351214959897212,0.391184125131616,-0.401451486788031,0.144444286784853,0.347762675448903,0.555148818488135,1.13874952247803,1.00089872712951,8967,1,0.866866666666667
"beta.comm.phi[1]",1.78124750930389,0.610397377728478,0.486848436884696,1.44561505458864,1.79454424273804,2.14047095285197,2.9580941189186,1.00070680004588,28342,0,0.991066666666667
"beta.comm.phi[2]",-0.248233270293078,1.14169357627799,-2.71510356966699,-0.842849057396316,-0.216844258394666,0.371348637357686,2.0950630409804,1.00183137909999,14031,1,0.602433333333333
"beta.comm.gamma[1]",-3.29335262220593,0.889612491511334,-4.83701410376072,-3.82123903180153,-3.37288481592738,-2.88440983511823,-1.19628664920766,1.00075377756514,5824,0,0.9931
"beta.comm.gamma[2]",0.196946320763888,0.422775875482552,-0.664417088602836,-0.040214526259259,0.198355796748967,0.434151434478582,1.01857143995392,1.00033871761633,16413,1,0.713633333333333
"rho.comm[1]",-0.431048494973872,0.22276396806186,-0.896873370874906,-0.573548518097111,-0.423460682369034,-0.279125026223812,-0.017091295187011,1.00006121226891,30000,0,0.979666666666667
"rho.comm[2]",0.0750036648096282,0.151347625914024,-0.226798118923226,-0.025100191519444,0.0756204774490842,0.176661143167063,0.366515148577699,0.999997677063567,30000,1,0.6938
"eff.traits.psi[1,1]",0.307165386198381,0.759020799309,-1.02165455141598,-0.19173153395412,0.237589216146278,0.728117211523929,2.036235606754,1.00120815082669,2558,1,0.642433333333333
"eff.traits.psi[2,1]",0.0622091926459277,0.307612996387873,-0.551721356147748,-0.130239854833025,0.0624233422003367,0.253257405880828,0.679708476558872,0.999958019926347,30000,1,0.588966666666667
"eff.traits.psi[1,2]",0.248593601860002,0.548494627408525,-0.776337995190281,-0.117226996700861,0.222563036564437,0.591938149721636,1.40794375882334,1.00047276531977,6192,1,0.6695
"eff.traits.psi[2,2]",0.102290945314838,0.221679451243385,-0.328180030346728,-0.0449032763869338,0.0981926338719902,0.245926828498517,0.550599999930715,1.0000965792563,25766,1,0.6812
"eff.traits.phi[1,1]",0.428363861891959,0.562622946427731,-0.718292792331123,0.0847771242955684,0.433345887767483,0.782804140901511,1.52745873471549,1.00002921037818,30000,1,0.7955
"eff.traits.phi[2,1]",-0.607303889563116,0.881651861710596,-2.49865744151009,-1.14001741474704,-0.536884832463406,-0.0101805472950289,0.95231599424591,1.00379444860332,779,1,0.754233333333333
"eff.traits.phi[1,2]",-0.565931227833627,0.421158832212089,-1.43050698295585,-0.830118220549206,-0.556757517185273,-0.29251731675889,0.254229305232573,1.00000666978799,30000,1,0.918933333333333
